name,subCategory,address,postalCode,phone,hours,description
Active Aging LLP (Pressalit Singapore),Active Ageing Centre,"190 Clemenceau Ave, #05-31, Singapore 239924",239924,+65 6735 9727,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Website: http://www.activeaging.com.sg/
Active Global @ Fernvale Glades Active Ageing Centre (Care),Active Ageing Centre,"460 Sengkang W Wy, #01-02, Singapore 790460",790460,+65 6536 0086,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,Type: Services | Website: https://www.activeglobalcaregiver.sg/
Active Global @ Ghim Moh Edge Active Ageing Centre (Care),Active Ageing Centre,"31A Ghim Moh Link, Singapore 272031",272031,+65 6536 0086,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,Type: Services | Website: https://www.activeglobalcaregiver.sg/senior-care-centers
Adventist Active Centre @ Golden Peony,Active Ageing Centre,"530A Jurong West Ave 1, #01 907, Singapore 641530",641530,,,Type: Services | Google Maps: https://maps.google.com/?cid=10503622354308558583&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Adventist Home for the Elders,Active Ageing Centre,"Blk 195 Kim Keat Ave, #01-294/310/314, Singapore 310195",310195,+65 6258 1267,,Type: Services | Website: http://www.adventisthome.org.sg/
Aliwal Arts Centre,Active Ageing Centre,"28 Aliwal St, Singapore 199918",199918,,Monday: 7:00 AM – 11:00 PM; Tuesday: 7:00 AM – 11:00 PM; Wednesday: 7:00 AM – 11:00 PM; Thursday: 7:00 AM – 11:00 PM; Friday: 7:00 AM – 11:00 PM; Saturday: 7:00 AM – 11:00 PM; Sunday: 7:00 AM – 11:00 PM,Website: https://www.artshousegroup.sg/aac
All Saints Silver Lifestyle Club @ Yishun Central,Active Ageing Centre,"2 Yishun Ave 9, Singapore 768898",768898,+65 6351 1460,,Type: Services | Website: http://www.allsaintshome.org.sg/
All Saints Silver Lifestyle Club@ Yishun Fern Grove,Active Ageing Centre,"Blk 674 Yishun Ave 4, #01-11, Singapore 760674",760674,+65 6351 1470,,Type: Child care agency | Google Maps: https://maps.google.com/?cid=13193460391370714081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Allkin Active Ageing Centre @ Ang Mo Kio 420,Active Ageing Centre,"420 Ang Mo Kio Ave 10, #01-1143, Singapore 560420",560420,+65 6038 4300,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Association / Organization | Website: https://www.allkin.org.sg/
Allkin Active Ageing Centre @ Ang Mo Kio 469 – Senior Activity Centre,Active Ageing Centre,"469 Ang Mo Kio Ave 10, #01-940, Singapore 560469",560469,+65 6038 4310,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Association / Organization | Website: http://www.allkin.org.sg/
Allkin Active Ageing Centre @ Ang Mo Kio 510 – Senior Activity Centre,Active Ageing Centre,"510 Ang Mo Kio Ave 8, #01-2556, Singapore 560510",560510,+65 6038 4380,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Association / Organization | Website: http://www.allkin.org.sg/
Allkin Active Ageing Centre @ Pasir Ris 476A – Senior Activity Centre,Active Ageing Centre,"476A Pasir Ris Drive 6, #01- 618, Singapore 511476",511476,+65 6038 4360,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Association / Organization | Website: https://www.allkin.org.sg/
Allkin Active Ageing Centre @ Punggol 206A – Senior Activity Centre,Active Ageing Centre,"206A Punggol Pl, #01-2030, Singapore 821206",821206,+65 6038 4350,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Association / Organization | Website: http://www.allkin.org.sg/
Allkin Active Ageing Centre @ Punggol 677B,Active Ageing Centre,"677B Punggol Dr., #01-774, Singapore 822677",822677,+65 6038 4370,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Association / Organization | Website: https://www.allkin.org.sg/
Allkin Active Ageing Centre @ Sengkang 139 – Senior Activity Centre,Active Ageing Centre,"Blk 139 Rivervale St, #01-764, Singapore 540139",540139,+65 6038 4390,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Association / Organization | Website: https://www.allkin.org.sg/
Allkin Active Ageing Centre @ Sengkang 182,Active Ageing Centre,"182 Rivervale Cres, #01-311, Singapore 540182",540182,+65 6038 4340,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Association / Organization | Website: https://www.allkin.org.sg/
Allkin Active Ageing Centre @ Sin Ming 25 – Senior Activity Centre,Active Ageing Centre,"Blk 25 Sin Ming Rd, #01-88, Singapore 570025",570025,+65 6038 4320,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Association / Organization | Website: https://www.allkin.org.sg/
Allkin Active Ageing Centre @ Sin Ming 410 – Senior Activity Centre,Active Ageing Centre,"410 Sin Ming Ave, #01-119, Singapore 570410",570410,+65 6038 4330,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Association / Organization | Website: http://www.allkin.org.sg/
Anchorvale Community Club,Active Ageing Centre,"59 Anchorvale Rd, Singapore 544965",544965,+65 6489 4959,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,Type: Community center | Website: https://www.pa.gov.sg/Our-Network/Community-Clubs/Locate-CC/detail/Anchorvale-Community-Club
Ang Mo Kio Community Centre,Active Ageing Centre,"795 Ang Mo Kio Ave 1, Singapore 569976",569976,+65 6452 9644,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,Type: Community center | Website: https://www.onepa.gov.sg/cc/ang-mo-kio-cc
Anglican Care Centre (Farrer Park),Active Ageing Centre,"375 Race Course Rd Singapore 218644 Race Course Rd, Singapore 218644",218644,+65 6202 9669,,Type: Association / Organization | Google Maps: https://maps.google.com/?cid=10451384110649287912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Anglican Care Centre (Hougang),Active Ageing Centre,"20 Buangkok View, Blk 4, Singapore 534194",534194,+65 6386 9338,,Type: Non-profit organization | Google Maps: https://maps.google.com/?cid=7675204937219850119&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Anglican Care Centre (Pasir Ris),Active Ageing Centre,"Pasir Ris Dr 1, #01-266 Block 534, Singapore 510534",510534,+65 6584 4633,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Non-profit organization | Google Maps: https://maps.google.com/?cid=13826072377092029463&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Anglican Care Centre (Yishun),Active Ageing Centre,"707 Yishun Ave 5, #01-36, Singapore 760707",760707,+65 6753 5311,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Health | Google Maps: https://maps.google.com/?cid=14575995161396582785&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Anglican Senior Centre (Havelock),Active Ageing Centre,"51 Havelock Rd, #01-25, Singapore 161051",161051,+65 6694 0967,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,Type: Services | Google Maps: https://maps.google.com/?cid=16972800057220347032&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Anglican Senior Centre (Hillview),Active Ageing Centre,"4 Hillview Rise, #02-22, HillV2, Singapore 667979",667979,+65 6801 0499,,Type: Non-profit organization | Google Maps: https://maps.google.com/?cid=1893636899892810095&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Anglican Senior Centre (PEACE-Connect @ 8),Active Ageing Centre,"8 N Bridge Rd, #01-4102, Singapore 190008",190008,+65 6392 0460,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: https://www.sanh.org.sg/
Anytime Fitness Choa Chu Kang Centre,Active Ageing Centre,"309 Choa Chu Kang Ave 4, #03-01, Singapore 680309",680309,+65 9627 3077,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,Type: Gym | Website: https://www.anytimefitness.sg/gyms/sg-0083/choa-chu-kang-north-west-680309/
Anytime Fitness Sunshine Place,Active Ageing Centre,"Choa Chu Kang Ave 3, #02-07/08 Sunshine Place, Singapore 680475",680475,+65 8332 6529,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,Type: Gym | Website: https://www.anytimefitness.sg/gyms/sg-0152/choa-chu-kang-north-west-680475/
Ascend Table Tennis Academy,Active Ageing Centre,"231 Mountbatten Rd, Block A, #02-08, Singapore 397999",397999,+65 8878 8980,Monday: 11:00 AM – 9:00 PM; Tuesday: 11:00 AM – 9:00 PM; Wednesday: 11:00 AM – 9:00 PM; Thursday: 11:00 AM – 9:00 PM; Friday: 11:00 AM – 9:00 PM; Saturday: 10:00 AM – 9:00 PM; Sunday: 10:00 AM – 9:00 PM,Type: Sports club | Website: http://www.ascendtabletennis.com/
Ascendo Academy - Mountbatten,Active Ageing Centre,"231 Mountbatten Rd, Block C, Singapore 397999",397999,+65 8383 1896,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,Type: School | Website: http://www.ascendo.sg/
Atomy Lifestyle Centre @Choa Chu Kang,Active Ageing Centre,"186c Choa Chu Kang Ave 1, Singapore 689464",689464,+65 8200 9939,Monday: Closed; Tuesday: 11:00 AM – 6:00 PM; Wednesday: 11:00 AM – 6:00 PM; Thursday: 11:00 AM – 6:00 PM; Friday: 11:00 AM – 6:00 PM; Saturday: 10:00 AM – 2:00 PM; Sunday: 10:00 AM – 2:00 PM,Type: Community center | Google Maps: https://maps.google.com/?cid=701185731778090950&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
BCARE Active Ageing Centre (AAC) @ Compassvale,Active Ageing Centre,"Blk 287A Compassvale Cres, #01-151, Singapore 541287",541287,+65 6610 0802,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 8:30 AM – 12:30 PM; Sunday: Closed,Type: Services | Website: https://www.bcare.org.sg/eldercare
Bethesda CARE Centre (BCARE),Active Ageing Centre,"Blk 242 Hougang Street 22, #01-93, Singapore 530242",530242,+65 6039 1161,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Association / Organization | Website: http://www.bcare.org.sg/
Bishan Community Club,Active Ageing Centre,"51 Bishan St. 13, Singapore 579799",579799,+65 6259 4720,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,Type: Community center | Website: https://www.onepa.gov.sg/cc/bishan-cc
Bishan Esports Hub,Active Ageing Centre,"51 Bishan St. 13, Level 3, Singapore 579799",579799,,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,Type: Services | Google Maps: https://maps.google.com/?cid=13959549331432845547&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bishan Home for the Intellectually Disabled,Active Ageing Centre,"6 Bishan St. 13, Singapore 579798",579798,+65 6353 3515,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,Type: Association / Organization | Website: https://info.bishanhome.org.sg/
Blossom Seeds Limited,Active Ageing Centre,"105 Canberra St, #02-01/06, Singapore 750105",750105,+65 6259 8614,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: https://www.blossomseeds.sg/
Bo Tien Day Activity Centre for the Elderly,Active Ageing Centre,"125 Pending Rd, Block 125, Singapore 670125",670125,+65 6769 0690,,Type: Non-profit organization | Google Maps: https://maps.google.com/?cid=13954139607573414262&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bright Hill Evergreen Home,Active Ageing Centre,"100 Punggol Fld, Singapore 828811",828811,+65 6459 3492,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: 11:00 AM – 6:00 PM; Sunday: 11:00 AM – 6:00 PM,Type: Health | Website: http://www.bheh.org/
Buangkok Green Active Ageing Centre,Active Ageing Centre,"582A Buangkok Green, #02-540, Singapore 531582",531582,+65 6914 2166,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Association / Organization | Website: https://fycs.org/
Bukit Batok Senior Citizens' Recreational Activity Centre,Active Ageing Centre,"136 Bukit Batok West Ave 6, Block 136, Singapore 650136",650136,,,Type: Point of interest | Google Maps: https://maps.google.com/?cid=12486778152855702288&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bukit Canberra Sport Centre,Active Ageing Centre,"21 Canberra Link, Singapore 756973",756973,,Monday: 7:00 AM – 10:00 PM; Tuesday: 7:00 AM – 10:00 PM; Wednesday: 7:00 AM – 10:00 PM; Thursday: 7:00 AM – 10:00 PM; Friday: 7:00 AM – 10:00 PM; Saturday: 7:00 AM – 10:00 PM; Sunday: 7:00 AM – 10:00 PM,Type: Community center | Website: https://www.activesgcircle.gov.sg/facilities/bukit-canberra-sport-centre
Bukit Timah Community Club,Active Ageing Centre,"20 Toh Yi Dr, #04-01, Singapore 596569",596569,+65 6466 2912,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,Type: Community center | Google Maps: https://maps.google.com/?cid=12136117359327579379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
CITY Community Services,Active Ageing Centre,"298 Tiong Bahru Rd, #10-03 Central Plaza, Singapore 168730",168730,+65 6593 6467,Monday: 10:00 AM – 5:00 PM; Tuesday: 10:00 AM – 5:00 PM; Wednesday: 12:00 – 5:00 PM; Thursday: 10:00 AM – 5:00 PM; Friday: 10:00 AM – 5:00 PM; Saturday: 1:30 – 5:00 PM; Sunday: Closed,Type: Non-profit organization | Google Maps: https://maps.google.com/?cid=17575394821653477886&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Canberra Community Club,Active Ageing Centre,"2 Sembawang Cres, #01-01, Singapore 757632",757632,+65 6755 6369,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,Type: Community center | Google Maps: https://maps.google.com/?cid=17700004271587733524&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Care Corner Active Ageing Centre (TP106),Active Ageing Centre,"106 Lor 1 Toa Payoh, #01-349 Block 106, Singapore 310106",310106,+65 6266 7423,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,Type: Services | Website: https://www.carecorner.org.sg/services/active-ageing/
Care Corner Active Ageing Centre (TP149),Active Ageing Centre,"149 Lor 1 Toa Payoh, #01-963, Singapore 310149",310149,+65 6258 3122,"Monday: 9:00 AM – 12:30 PM, 1:30 – 6:00 PM; Tuesday: 9:00 AM – 12:30 PM, 1:30 – 6:00 PM; Wednesday: 9:00 AM – 12:30 PM, 1:30 – 6:00 PM; Thursday: 9:00 AM – 12:30 PM, 1:30 – 6:00 PM; Friday: 9:00 AM – 12:30 PM, 1:30 – 6:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed",Type: Services | Website: https://www.carecorner.org.sg/services/active-ageing/
Care Corner Active Ageing Centre (TP170),Active Ageing Centre,"170 Lor 1 Toa Payoh, #01-1102, Singapore 310170",310170,+65 6352 7930,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,Type: Services | Website: https://www.carecorner.org.sg/services/active-ageing/
Care Corner Active Ageing Centre (TP5),Active Ageing Centre,"5 Lor 7 Toa Payoh, #01-131, Singapore 310005",310005,+65 6258 7922,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,Type: Services | Website: https://www.carecorner.org.sg/services/active-ageing/
Care Corner Active Ageing Centre (TP62B),Active Ageing Centre,"02-121 62B, Lor 4 Toa Payoh, Block 62B, Singapore 312062",312062,+65 6258 0503,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,Type: Services | Website: https://www.carecorner.org.sg/services/active-ageing/
